HuBert,case_noun,degree_adj,mood_verb,number_adj,number_noun,number_psor_noun
embedding,0.9491,0.6866,0.845,0.95,0.865,0.945
Layer 1,0.9722,0.9303,0.985,0.985,0.975,0.96
Layer 2,0.9769,0.9701,0.95,0.995,0.97,0.935
Layer 3,0.9769,0.9602,0.955,0.995,0.98,0.96
Layer 4,0.9769,0.9652,0.945,0.995,0.97,0.955
Layer 5,0.9769,0.9602,0.945,0.995,0.98,0.955
Layer 6,0.9769,0.9602,0.945,0.99,0.99,0.955
Layer 7,0.9769,0.9502,0.945,0.99,0.98,0.975
Layer 8,0.9769,0.9453,0.94,0.99,0.98,0.965
Layer 9,0.9769,0.9502,0.95,0.985,0.98,0.975
Layer 10,0.9722,0.9353,0.945,0.995,0.98,0.975
Layer 11,0.9722,0.9453,0.945,0.975,0.985,0.98
Layer 12,0.9676,0.9502,0.945,0.975,0.98,0.965
,,,,,,
HuBert,number_verb,person_psor_noun,person_verb,tense_verb,verbform_verb,number_verb
embedding,0.955,0.8607,0.9602,0.905,0.95,0.955
Layer 1,0.965,0.904,0.9801,0.97,0.98,0.965
Layer 2,0.98,0.9353,0.9701,0.98,0.985,0.98
Layer 3,0.995,0.9303,0.9751,0.975,0.985,0.995
Layer 4,0.99,0.9104,0.9701,0.97,0.995,0.99
Layer 5,0.995,0.9154,0.9751,0.975,1,0.995
Layer 6,0.985,0.9104,0.9652,0.975,1,0.985
Layer 7,0.97,0.9303,0.9652,0.97,1,0.97
Layer 8,0.975,0.9055,0.9652,0.975,1,0.975
Layer 9,0.97,0.8905,0.9602,0.97,1,0.97
Layer 10,0.98,0.9154,0.9303,0.98,1,0.98
Layer 11,0.985,0.9403,0.9353,0.985,1,0.985
Layer 12,0.98,0.9453,0.9502,0.98,1,0.98
