HuBert,case_noun,degree_adj,mood_verb,number_adj,number_noun,number_psor_noun,number_verb,person_psor_noun,person_verb,tense_verb,verbform_verb
embedding,0.9491,0.6866,0.845,0.95,0.865,0.945,0.955,0.8607,0.9602,0.905,0.95
Layer_1,0.9722,0.9303,0.985,0.985,0.975,0.96,0.965,0.904,0.9801,0.97,0.98
Layer_2,0.9769,0.9701,0.95,0.995,0.97,0.935,0.98,0.9353,0.9701,0.98,0.985
Layer_3,0.9769,0.9602,0.955,0.995,0.98,0.96,0.995,0.9303,0.9751,0.975,0.985
Layer_4,0.9769,0.9652,0.945,0.995,0.97,0.955,0.99,0.9104,0.9701,0.97,0.995
Layer_5,0.9769,0.9602,0.945,0.995,0.98,0.955,0.995,0.9154,0.9751,0.975,1
Layer_6,0.9769,0.9602,0.945,0.99,0.99,0.955,0.985,0.9104,0.9652,0.975,1
Layer_7,0.9769,0.9502,0.945,0.99,0.98,0.975,0.97,0.9303,0.9652,0.97,1
Layer_8,0.9769,0.9453,0.94,0.99,0.98,0.965,0.975,0.9055,0.9652,0.975,1
Layer_9,0.9769,0.9502,0.95,0.985,0.98,0.975,0.97,0.8905,0.9602,0.97,1
Layer_10,0.9722,0.9353,0.945,0.995,0.98,0.975,0.98,0.9154,0.9303,0.98,1
Layer_11,0.9722,0.9453,0.945,0.975,0.985,0.98,0.985,0.9403,0.9353,0.985,1
Layer_12,0.9676,0.9502,0.945,0.975,0.98,0.965,0.98,0.9453,0.9502,0.98,1
